Date,Value,21_Month_MA
1871-01-01,4.44,0
1871-02-01,4.5,0
1871-03-01,4.61,0
1871-04-01,4.74,0
1871-05-01,4.86,0
1871-06-01,4.82,0
1871-07-01,4.73,0
1871-08-01,4.79,0
1871-09-01,4.84,0
1871-10-01,4.59,0
1871-11-01,4.64,0
1871-12-01,4.74,0
1872-01-01,4.86,0
1872-02-01,4.88,0
1872-03-01,5.04,0
1872-04-01,5.18,0
1872-05-01,5.18,0
1872-06-01,5.13,0
1872-07-01,5.1,0
1872-08-01,5.04,0
1872-09-01,4.95,4.8409523809523805
1872-10-01,4.97,4.866190476190476
1872-11-01,4.95,4.887619047619047
1872-12-01,5.07,4.90952380952381
1873-01-01,5.11,4.927142857142857
1873-02-01,5.15,4.94095238095238
1873-03-01,5.11,4.954761904761905
1873-04-01,5.04,4.9695238095238095
1873-05-01,5.05,4.981904761904762
1873-06-01,4.98,4.988571428571428
1873-07-01,4.97,5.006666666666667
1873-08-01,4.97,5.022380952380952
1873-09-01,4.59,5.015238095238096
1873-10-01,4.19,4.983333333333333
1873-11-01,4.04,4.943333333333333
1873-12-01,4.42,4.913809523809523
1874-01-01,4.66,4.889047619047619
1874-02-01,4.8,4.870952380952382
1874-03-01,4.73,4.851904761904762
1874-04-01,4.6,4.828095238095238
1874-05-01,4.48,4.801428571428572
1874-06-01,4.46,4.778095238095238
1874-07-01,4.46,4.753809523809524
1874-08-01,4.47,4.730952380952381
1874-09-01,4.54,4.7057142857142855
1874-10-01,4.53,4.678095238095238
1874-11-01,4.57,4.650476190476191
1874-12-01,4.54,4.623333333333333
1875-01-01,4.54,4.599523809523809
1875-02-01,4.53,4.574761904761905
1875-03-01,4.59,4.556190476190476
1875-04-01,4.65,4.540952380952381
1875-05-01,4.47,4.517142857142857
1875-06-01,4.38,4.507142857142857
1875-07-01,4.39,4.516666666666667
1875-08-01,4.41,4.534285714285714
1875-09-01,4.37,4.531904761904762
1875-10-01,4.3,4.5147619047619045
1875-11-01,4.37,4.494285714285714
1875-12-01,4.37,4.477142857142857
1876-01-01,4.46,4.47047619047619
1876-02-01,4.52,4.472380952380952
1876-03-01,4.51,4.4747619047619045
1876-04-01,4.34,4.469047619047619
1876-05-01,4.18,4.455238095238095
1876-06-01,4.15,4.4366666666666665
1876-07-01,4.1,4.416190476190477
1876-08-01,3.93,4.385714285714285
1876-09-01,3.69,4.345238095238095
1876-10-01,3.67,4.303809523809524
1876-11-01,3.6,4.259523809523809
1876-12-01,3.58,4.211428571428572
1877-01-01,3.55,4.1590476190476195
1877-02-01,3.34,4.105238095238096
1877-03-01,3.17,4.0476190476190474
1877-04-01,2.94,3.978571428571429
1877-05-01,2.94,3.9085714285714284
1877-06-01,2.73,3.8304761904761904
1877-07-01,2.85,3.761428571428571
1877-08-01,3.05,3.698571428571429
1877-09-01,3.24,3.6447619047619044
1877-10-01,3.31,3.59
1877-11-01,3.26,3.53
1877-12-01,3.25,3.47
1878-01-01,3.25,3.4180952380952383
1878-02-01,3.18,3.37047619047619
1878-03-01,3.24,3.3271428571428574
1878-04-01,3.33,3.2904761904761908
1878-05-01,3.34,3.2623809523809526
1878-06-01,3.41,3.2490476190476194
1878-07-01,3.48,3.24
1878-08-01,3.45,3.232857142857143
1878-09-01,3.52,3.23
1878-10-01,3.48,3.226666666666666
1878-11-01,3.47,3.232857142857143
1878-12-01,3.45,3.2461904761904763
1879-01-01,3.58,3.276666666666666
1879-02-01,3.71,3.3133333333333335
1879-03-01,3.65,3.357142857142857
1879-04-01,3.77,3.400952380952381
1879-05-01,3.94,3.4433333333333334
1879-06-01,3.96,3.4776190476190476
1879-07-01,4.04,3.5123809523809526
1879-08-01,4.07,3.5509523809523804
1879-09-01,4.22,3.597142857142857
1879-10-01,4.68,3.665238095238095
1879-11-01,4.93,3.7485714285714287
1879-12-01,4.92,3.8285714285714283
1880-01-01,5.11,3.913333333333333
1880-02-01,5.2,4.001904761904761
1880-03-01,5.3,4.091904761904762
1880-04-01,5.18,4.172857142857143
1880-05-01,4.77,4.235714285714286
1880-06-01,4.79,4.296190476190477
1880-07-01,5.01,4.369047619047619
1880-08-01,5.19,4.450952380952381
1880-09-01,5.18,4.533333333333333
1880-10-01,5.33,4.616666666666667
1880-11-01,5.61,4.707142857142857
1880-12-01,5.84,4.811428571428571
1881-01-01,6.19,4.926666666666667
1881-02-01,6.17,5.032857142857143
1881-03-01,6.24,5.1414285714285715
1881-04-01,6.22,5.245238095238095
1881-05-01,6.5,5.360952380952382
1881-06-01,6.58,5.473333333333334
1881-07-01,6.35,5.5528571428571425
1881-08-01,6.2,5.613333333333334
1881-09-01,6.25,5.676666666666667
1881-10-01,6.15,5.726190476190476
1881-11-01,6.19,5.773333333333333
1881-12-01,6.01,5.807142857142857
1882-01-01,5.92,5.842380952380952
1882-02-01,5.79,5.890952380952381
1882-03-01,5.78,5.938095238095238
